timestamp,open,high,low,close,volume
1607299200000,601.59,603.15,584.22,591.28,498329.3759
1607385600000,591.27,595,549.22,554.94,804443.0072
1607472000000,554.92,578.08,530.43,573.09,997192.1674
1607558400000,573.2,575.7,548.11,558.99,608414.5147
1607644800000,558.99,560.8,535.5,544.43,768921.7832
1607731200000,544.46,574,543.1,568.04,573913.9531
1607817600000,568.09,595,563.22,590.7,657794.4616
1607904000000,590.81,591.48,575.6,586.29,493012.0271
1607990400000,586.29,597.2,578.58,588.64,569270.5201
1608076800000,588.78,640,580.71,637.18,1185588.051
1608163200000,637.18,676.25,625.76,642.7,2006130.02
1608249600000,642.71,664.61,629.4,653.85,1000012.98
1608336000000,653.76,669.95,645.42,658.03,858803.8846
1608422400000,658.05,661.39,621.01,638.18,823958.2284
1608508800000,638.1,648,595.9,607.58,843251.1657
1608595200000,607.68,637.73,588,636.45,918851.2565
1608681600000,636.41,638.44,551.28,585.56,1208807.365
1608768000000,585.48,615.02,565.43,612.31,886335.8633
1608854400000,612.31,634.24,604.28,626.82,798009.6292
1608940800000,626.78,652.91,615.26,637.44,958585.5065
1609027200000,637.44,717.13,625,685.11,1859968.15
1609113600000,685.1,748.09,681.04,730.41,1627154.393
1609200000000,730.4,740.78,689.2,732,1106876.359
1609286400000,732,758.74,716.62,752.17,1008574.099
1609372800000,752.17,755.74,722,736.42,863375.5798
1609459200000,736.42,749,714.29,728.91,675114.0933
1609545600000,728.91,787.69,714.91,774.56,1352618.577
1609632000000,774.44,1011.07,768.71,978.28,2813603.886
1609718400000,978.33,1162.97,890,1041.43,4245010.94
1609804800000,1041.45,1134.6,974.45,1099.56,2706995.675
1609891200000,1100.16,1213,1057.26,1208.42,2390136.593
1609977600000,1208.75,1289,1131,1224.87,1972922.821
1610064000000,1224.86,1273.75,1065,1216.93,2131172.923
1610150400000,1216.72,1304.37,1171.36,1276,1448871.115
1610236800000,1276,1348.33,1170,1254.25,1951179.35
1610323200000,1254.24,1260,915,1087.01,4099450.9
1610409600000,1087,1150.02,1006.33,1050.16,2302645.341
1610496000000,1050.36,1137.65,987.48,1129.89,1564202.391
